Word	BlogFreq	BlogFreqPm	BlogCD	BlogCDPc	TwitterFreq	TwitterFreqPm	TwitterCD	TwitterCDPc	NewsFreq	NewsFreqPm	NewsCD	NewsCDPc.
thỏ	707	43.1815	582	0.1446	436	35.8707	373	0.0445	180	10.2477	121	0.0425
đắm	706	43.1204	690	0.1714	154	12.6699	152	0.0181	331	18.8443	325	0.1143
bẩn	706	43.1204	630	0.1565	511	42.0411	474	0.0566	541	30.8000	472	0.1660
kỵ	705	43.0593	591	0.1468	19	1.5632	19	0.0023	154	8.7675	145	0.0510
bắp	705	43.0593	619	0.1538	471	38.7502	450	0.0537	432	24.5944	382	0.1343
chôn	704	42.9982	647	0.1607	107	8.8031	102	0.0122	485	27.6118	414	0.1456
xé	702	42.8761	662	0.1645	320	26.3271	299	0.0357	282	16.0547	272	0.0956
dẫu	702	42.8761	676	0.1679	97	7.9804	94	0.0112	420	23.9112	411	0.1445
quyến	701	42.8150	678	0.1684	291	23.9412	287	0.0342	712	40.5352	643	0.2261
giặc	701	42.8150	588	0.1461	49	4.0313	45	0.0054	191	10.8739	153	0.0538
hỉ	700	42.7539	607	0.1508	163	13.4104	142	0.0169	60	3.4159	59	0.0207
sếp	699	42.6928	505	0.1255	440	36.1998	377	0.0450	600	34.1589	382	0.1343
na	697	42.5707	546	0.1356	1956	160.9244	1729	0.2063	649	36.9486	527	0.1853
vặt	696	42.5096	660	0.1640	267	21.9667	263	0.0314	443	25.2207	420	0.1477
ngoái	696	42.5096	658	0.1635	1066	87.7022	1044	0.1246	1976	112.4967	1896	0.6666
lỏng	696	42.5096	668	0.1660	47	3.8668	42	0.0050	722	41.1046	685	0.2408
váy	695	42.4485	576	0.1431	668	54.9578	608	0.0725	760	43.2680	582	0.2046
căm	695	42.4485	640	0.1590	339	27.8903	322	0.0384	178	10.1338	147	0.0517
hân	694	42.3875	574	0.1426	191	15.7140	185	0.0221	448	25.5053	364	0.1280
đắp	693	42.3264	659	0.1637	246	20.2390	239	0.0285	755	42.9833	716	0.2517
quét	693	42.3264	636	0.1580	132	10.8599	123	0.0147	532	30.2876	483	0.1698
lay	693	42.3264	641	0.1592	1290	106.1311	1185	0.1414	197	11.2155	191	0.0672
tản	692	42.2653	570	0.1416	22	1.8100	22	0.0026	273	15.5423	232	0.0816
nhường	692	42.2653	647	0.1607	282	23.2008	271	0.0323	526	29.9460	502	0.1765
mồi	692	42.2653	481	0.1195	60	4.9363	60	0.0072	388	22.0894	347	0.1220
